Município,Domain,Status,Signal_Found,Notes
Ferreira do Alentejo,ferreiradoalentejo.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Freixo de Espada à Cinta,freixo.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Marco de Canaveses,marco.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Paredes de Coura,paredesdecoura.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Porto de Mós,portodemos.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
São Brás de Alportel,sba.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Torres Vedras,torresvedras.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Castelo de Paiva,cm-castelo-paiva.pt,VERIFIED,cm- in domain (auto-pass),
Reguengos de Monsaraz,cm-reguengos-monsaraz.pt,VERIFIED,cm- in domain (auto-pass),
Vila Nova de Cerveira,cm-vncerveira.pt,VERIFIED,cm- in domain (auto-pass),
Castelo de Vide,cm-castelo-vide.pt,VERIFIED,cm- in domain (auto-pass),
Miranda do Douro,cm-mdouro.pt,VERIFIED,cm- in domain (auto-pass),
Marinha Grande,cm-mgrande.pt,VERIFIED,cm- in domain (auto-pass),
Montemor-o-Velho,cm-montemorvelho.pt,VERIFIED,cm- in domain (auto-pass),
Oliveira do Bairro,cm-olb.pt,VERIFIED,cm- in domain (auto-pass),
Paços de Ferreira,cm-pacosdeferreira.pt,VERIFIED,cm- in domain (auto-pass),
Santana,cm-santana.com,VERIFIED,cm- in domain (auto-pass),
Sever do Vouga,cm-sever.pt,VERIFIED,cm- in domain (auto-pass),
Santo Tirso,cm-stirso.pt,VERIFIED,cm- in domain (auto-pass),
Terras de Bouro,cm-terrasdebouro.pt,VERIFIED,cm- in domain (auto-pass),
Vila Nova de Poiares,cm-vilanovadepoiares.pt,VERIFIED,cm- in domain (auto-pass),
Vieira do Minho,cm-vminho.pt,VERIFIED,cm- in domain (auto-pass),
Lajes das Flores,cmlajesdasflores.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Vila da Praia da Vitória,cmpv.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Santa Cruz das Flores,cmscflores.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
Vila Franca do Campo,cmvfc.pt,ERROR,,"HTTPSConnectionPool(host='arquivo.pt', port=443): Read timed out. (read timeout=20)"
